source_id,tract_geoid
CH4_1B2_250m_-103.45447_32.31179?status=not_deleted,35025000900
CH4_1B2_250m_-103.57075_32.22526?status=not_deleted,35025000900
CH4_1B2_250m_-103.46378_32.28412?status=not_deleted,35025000900
CH4_1B2_250m_-103.22571_32.44735?status=not_deleted,35025000800
CH4_1B2_250m_-103.14720_32.48383?status=not_deleted,35025000800
CH4_1B2_250m_-103.46466_32.25861?status=not_deleted,35025000900
CH4_1B2_250m_-103.43075_32.31139?status=not_deleted,35025000900
CH4_1B2_250m_-103.24332_32.38987?status=not_deleted,35025000900
CH4_1B2_250m_-103.67739_32.10584?status=not_deleted,35025000900
CH4_1B2_250m_-103.67699_32.07894?status=not_deleted,35025000900
CH4_1B2_250m_-103.70067_32.03694?status=not_deleted,35025000900
CH4_1B2_250m_-103.22038_32.32852?status=not_deleted,35025000900
CH4_1B2_250m_-103.57866_32.06518?status=not_deleted,35025000900
CH4_1B2_250m_-103.69053_32.03782?status=not_deleted,35025000900
CH4_1B2_250m_-103.62661_32.03807?status=not_deleted,35025000900
CH4_1B2_250m_-103.53210_32.06586?status=not_deleted,35025000900
