NAME,B01003_001E,B17001_002E,B03002_003E,B03002_012E,B08201_002E,state,county,tract,block group
Block Group 2; Census Tract 23.03; Bernalillo County; New Mexico,1295,,187,1108,,35,001,002303,2
Block Group 1; Census Tract 24.01; Bernalillo County; New Mexico,1764,,226,1478,,35,001,002401,1
Block Group 2; Census Tract 24.01; Bernalillo County; New Mexico,806,,43,740,,35,001,002401,2
Block Group 3; Census Tract 24.01; Bernalillo County; New Mexico,2038,,237,1761,,35,001,002401,3
Block Group 1; Census Tract 24.03; Bernalillo County; New Mexico,900,,238,642,,35,001,002403,1
Block Group 2; Census Tract 24.03; Bernalillo County; New Mexico,2777,,323,2380,,35,001,002403,2
Block Group 3; Census Tract 24.03; Bernalillo County; New Mexico,1481,,416,1065,,35,001,002403,3
Block Group 1; Census Tract 24.04; Bernalillo County; New Mexico,1329,,52,1256,,35,001,002404,1
Block Group 2; Census Tract 24.04; Bernalillo County; New Mexico,893,,47,776,,35,001,002404,2
Block Group 3; Census Tract 24.04; Bernalillo County; New Mexico,1233,,112,745,,35,001,002404,3
Block Group 1; Census Tract 27; Bernalillo County; New Mexico,2010,,439,1391,,35,001,002700,1
Block Group 2; Census Tract 27; Bernalillo County; New Mexico,2488,,1370,736,,35,001,002700,2
Block Group 1; Census Tract 29; Bernalillo County; New Mexico,1460,,447,851,,35,001,002900,1
Block Group 2; Census Tract 29; Bernalillo County; New Mexico,889,,183,614,,35,001,002900,2
Block Group 3; Census Tract 29; Bernalillo County; New Mexico,1151,,216,851,,35,001,002900,3
Block Group 1; Census Tract 30.01; Bernalillo County; New Mexico,1041,,760,250,,35,001,003001,1
Block Group 2; Census Tract 30.01; Bernalillo County; New Mexico,882,,404,380,,35,001,003001,2
Block Group 3; Census Tract 30.01; Bernalillo County; New Mexico,973,,354,502,,35,001,003001,3
Block Group 4; Census Tract 30.01; Bernalillo County; New Mexico,1626,,626,909,,35,001,003001,4
Block Group 1; Census Tract 30.02; Bernalillo County; New Mexico,1762,,946,586,,35,001,003002,1
Block Group 2; Census Tract 30.02; Bernalillo County; New Mexico,2098,,791,1162,,35,001,003002,2
Block Group 1; Census Tract 31; Bernalillo County; New Mexico,1178,,776,358,,35,001,003100,1
Block Group 2; Census Tract 31; Bernalillo County; New Mexico,1464,,716,678,,35,001,003100,2
Block Group 1; Census Tract 32.01; Bernalillo County; New Mexico,1942,,739,1077,,35,001,003201,1
Block Group 2; Census Tract 32.01; Bernalillo County; New Mexico,926,,190,442,,35,001,003201,2
Block Group 1; Census Tract 32.02; Bernalillo County; New Mexico,1350,,394,890,,35,001,003202,1
Block Group 2; Census Tract 32.02; Bernalillo County; New Mexico,1224,,398,700,,35,001,003202,2
Block Group 3; Census Tract 32.02; Bernalillo County; New Mexico,1811,,1199,612,,35,001,003202,3
Block Group 4; Census Tract 32.02; Bernalillo County; New Mexico,491,,137,305,,35,001,003202,4
Block Group 1; Census Tract 34; Bernalillo County; New Mexico,1484,,420,780,,35,001,003400,1
Block Group 2; Census Tract 34; Bernalillo County; New Mexico,1009,,133,647,,35,001,003400,2
Block Group 3; Census Tract 34; Bernalillo County; New Mexico,1411,,458,741,,35,001,003400,3
Block Group 1; Census Tract 35.01; Bernalillo County; New Mexico,1816,,360,1168,,35,001,003501,1
Block Group 2; Census Tract 35.01; Bernalillo County; New Mexico,1089,,328,753,,35,001,003501,2
Block Group 3; Census Tract 35.01; Bernalillo County; New Mexico,1929,,994,902,,35,001,003501,3
Block Group 1; Census Tract 35.02; Bernalillo County; New Mexico,1286,,629,507,,35,001,003502,1
Block Group 2; Census Tract 35.02; Bernalillo County; New Mexico,1412,,687,630,,35,001,003502,2
Block Group 3; Census Tract 35.02; Bernalillo County; New Mexico,1171,,597,504,,35,001,003502,3
Block Group 4; Census Tract 35.02; Bernalillo County; New Mexico,1262,,580,534,,35,001,003502,4
Block Group 1; Census Tract 36; Bernalillo County; New Mexico,2317,,278,1535,,35,001,003600,1
Block Group 2; Census Tract 36; Bernalillo County; New Mexico,2397,,1395,898,,35,001,003600,2
Block Group 3; Census Tract 36; Bernalillo County; New Mexico,1527,,241,1286,,35,001,003600,3
Block Group 4; Census Tract 36; Bernalillo County; New Mexico,737,,572,104,,35,001,003600,4
Block Group 1; Census Tract 37.07; Bernalillo County; New Mexico,1696,,680,274,,35,001,003707,1
Block Group 2; Census Tract 37.07; Bernalillo County; New Mexico,807,,322,325,,35,001,003707,2
Block Group 3; Census Tract 37.07; Bernalillo County; New Mexico,2429,,849,1039,,35,001,003707,3
Block Group 1; Census Tract 37.12; Bernalillo County; New Mexico,1049,,609,364,,35,001,003712,1
Block Group 2; Census Tract 37.12; Bernalillo County; New Mexico,1498,,647,687,,35,001,003712,2
Block Group 3; Census Tract 37.12; Bernalillo County; New Mexico,1176,,752,366,,35,001,003712,3
Block Group 4; Census Tract 37.12; Bernalillo County; New Mexico,1449,,756,583,,35,001,003712,4
Block Group 1; Census Tract 37.15; Bernalillo County; New Mexico,1005,,574,386,,35,001,003715,1
Block Group 2; Census Tract 37.15; Bernalillo County; New Mexico,1112,,685,326,,35,001,003715,2
Block Group 3; Census Tract 37.15; Bernalillo County; New Mexico,741,,631,97,,35,001,003715,3
Block Group 4; Census Tract 37.15; Bernalillo County; New Mexico,1190,,909,213,,35,001,003715,4
Block Group 1; Census Tract 37.17; Bernalillo County; New Mexico,1028,,674,315,,35,001,003717,1
